	C1.1	C1.2	C1.3	C1.4	C1.5	C2.1	C2.2	C2.3	C2.4	C2.5
Gene_1853	560	553	528	422	532	433	391	330	384	410
Gene_1854	95	76	70	82	74	78	91	80	81	92
Gene_1855	418	423	440	356	381	371	426	337	360	357
Gene_1856	181	218	313	225	269	284	201	219	207	238
Gene_1857	1122	875	933	1166	1031	1100	1016	1027	1050	947
Gene_1858	395	364	390	407	433	402	434	369	411	473
Gene_1859	5179	5392	5379	5545	5110	4752	4659	4839	5649	5060
Gene_1860	1156	1132	1111	1179	1059	1087	1076	1194	1046	1091
Gene_1861	313	331	362	259	362	279	306	331	224	218
Gene_1862	415	354	251	249	247	274	370	351	224	286
Gene_1863	3	7	13	12	3	5	8	5	8	10
Gene_1864	249	253	335	308	368	227	346	286	307	289
Gene_1865	422	442	449	449	452	455	437	413	413	417
Gene_1866	432	427	468	399	352	401	474	385	452	396
Gene_1867	159	141	168	181	89	160	173	189	146	164
Gene_1868	1437	1600	1521	1528	1537	1529	1524	1498	1555	1539
Gene_1869	176	158	173	180	221	189	183	173	186	201
Gene_1870	388	377	466	435	383	421	445	464	361	368
Gene_1871	39	90	59	44	44	58	50	40	46	61
Gene_1872	3	2	1	5	2	2	5	1	3	0
Gene_1873	114	192	101	112	127	81	92	82	89	69
Gene_1874	198	202	186	191	130	283	221	223	161	237
Gene_1875	490	417	427	440	367	412	437	376	402	404
Gene_1876	469	511	517	536	526	387	378	444	421	448
Gene_1877	44	25	29	40	37	67	46	59	69	33
Gene_1878	1954	1339	1466	2036	1811	1796	1329	1483	1351	1705
Gene_1879	716	728	705	740	703	713	750	714	694	709
Gene_1880	51	39	47	52	39	48	45	39	32	34
Gene_1881	35	72	108	115	84	90	81	80	75	85
Gene_1882	6	9	12	7	4	7	7	9	7	12
Gene_1883	462	500	459	398	447	442	428	486	390	492
Gene_1884	8	9	7	8	4	3	6	1	10	8
Gene_1885	132	190	171	162	224	233	211	168	140	121
Gene_1886	7	7	3	5	5	3	4	3	6	4
Gene_1887	479	450	497	475	465	485	452	489	483	488
Gene_1888	109	159	155	172	181	154	128	181	214	139
Gene_1889	10	26	26	21	22	20	31	19	11	19
Gene_1890	281	301	294	251	348	319	332	331	276	330
Gene_1891	1521	1277	1552	1317	1253	1102	1125	1151	1418	1407
Gene_1892	318	189	224	316	158	213	314	162	219	230
Gene_1893	198	182	208	209	236	220	198	236	230	196
Gene_1894	1038	968	1008	1057	985	1044	990	1084	996	1082
Gene_1895	1688	1440	2064	1626	2186	1966	1827	1916	1483	1531
Gene_1896	3658	4264	4469	4657	4302	4015	3891	4865	5038	4716
Gene_1897	608	304	542	520	448	474	528	463	623	480
Gene_1898	957	1051	1002	973	1011	936	934	881	930	930
Gene_1899	1003	1101	1064	1098	1084	1055	1060	1123	1148	1125
Gene_1900	1483	1706	2022	1543	1350	2350	1052	1203	1347	1389
